동,x,y,addr,src
성수동2가,127.05639353022181,37.54243256842165,서울 성동구 성수동2가 276-5,keyword
금호동4가,127.02990867046951,37.54782031066968,서울 성동구 금호동4가 1540,keyword
송정동,127.064092313642,37.5501384884122,서울 성동구 송정동,keyword
도선동,127.03546761658,37.5630708591822,서울 성동구 도선동 34,keyword
마장동,127.044866792085,37.5635758233962,서울 성동구 마장동,keyword
사근동,127.040558999308,37.5594976690083,서울 성동구 행당동 19-54,keyword
상왕십리동,127.026315968659,37.5708758778547,서울 성동구 상왕십리동,keyword
옥수동,127.00902538719544,37.544501769977565,서울 성동구 옥수동 산 5-164,keyword
하왕십리동,127.02850715706941,37.57008970116378,서울 성동구 하왕십리동,keyword
행당동,127.037232649446,37.561762068795,서울 성동구 행당동 192-3,keyword
응봉동,127.029834156041,37.5482528089186,서울 성동구 응봉동,keyword
용답동,127.048635495466,37.566475538485,서울 성동구 용답동 130,keyword
홍익동,127.036346888919,37.5650419716297,서울 성동구 홍익동 590,keyword
길음동,127.024530232973,37.6034759827831,서울 성북구 길음동 1276,keyword
돈암동,127.021954556426,37.5980543280284,서울 성북구 돈암동,keyword
동소문동5가,127.01617250790086,37.592251975298296,서울 성북구 동소문동5가 75,keyword
동소문동7가,127.01561272593705,37.595611848899026,서울 성북구 동소문동7가 1-1,keyword
보문동3가,127.01622181153,37.5846520960698,서울 성북구 보문동3가 168,keyword
동선동1가,127.018714518655,37.5923245799781,서울 성북구 동선동1가,keyword
동선동3가,127.021650018073,37.5943927552775,서울 성북구 동선동3가 250-1,keyword
동선동4가,127.0171260607647,37.59296812939267,서울 성북구 동선동4가 1,keyword
동선동5가,127.017143638487,37.5955539730081,서울 성북구 동선동5가 68-1,keyword
동소문동4가,127.00948282476564,37.591386848939464,서울 성북구 동소문동4가 103-3,keyword
동소문동6가,127.016061869895,37.59377106272959,서울 성북구 동소문동6가 147,keyword
보문동6가,127.019028515204,37.5803629479672,서울 성북구 보문동6가 151-4,keyword
삼선동2가,127.0065590176051,37.58835070331489,서울 성북구 동소문동2가 2-4,keyword
상월곡동,127.0522250713702,37.604207590950324,서울 성북구 상월곡동,keyword
석관동,127.057030776272,37.6035458417642,서울 성북구 석관동 409,keyword
장위동,127.052038619859,37.616169205568,서울 성북구 장위동 76-59,keyword
정릉동,127.00236959242949,37.618746670005585,서울 성북구 정릉동,keyword
보문동4가,127.02037899101433,37.584031568230344,서울 성북구 보문동4가 4,keyword
삼선동3가,127.01097388509474,37.59037040050019,서울 성북구 동소문동3가 63,keyword
삼선동4가,127.010901313346,37.5896369994549,서울 성북구 삼선동4가,keyword
삼선동5가,127.01617250790086,37.592251975298296,서울 성북구 동소문동5가 75,keyword
성북동,126.98298046054474,37.59756680563103,서울 성북구 성북동 330-230,keyword
성북동1가,127.003106884538,37.5893383324785,서울 성북구 성북동1가 109-3,keyword
안암동1가,127.019021536158,37.5885295514157,서울 성북구 안암동1가,keyword
안암동3가,127.022443461488,37.5820309884045,서울 성북구 안암동3가,keyword
안암동4가,127.02616540425,37.5805453845176,서울 성북구 안암동4가 29-1,keyword
종암동,127.040746775373,37.5967050575405,서울 성북구 종암동,keyword
하월곡동,127.042078185663,37.6063271692786,서울 성북구 하월곡동 23-1,keyword
가락동,127.104547917815,37.4991678487017,서울 송파구 가락동 479,keyword
거여동,127.150978953611,37.4909283885885,서울 송파구 거여동 266-10,keyword
마천동,127.144834638143,37.4992433573371,서울 송파구 마천동,keyword
문정동,127.12478406415195,37.480209937378454,서울 송파구 문정동 618,keyword
석촌동,127.102190932957,37.5023225298382,서울 송파구 석촌동 248,keyword
송파동,127.110416326514,37.5093249452576,서울 송파구 송파동,keyword
방이동,127.109220856293,37.5147825360342,서울 송파구 방이동 95-4,keyword
삼전동,127.09007464063016,37.49897344053314,서울 송파구 삼전동 185-4,keyword
신천동,127.105899949393,37.5116212351376,서울 송파구 신천동 32,keyword
오금동,127.137917515022,37.5013563840083,서울 송파구 오금동 141,keyword
잠실동,127.09811980036908,37.51113059993883,서울 송파구 잠실동 40-1,keyword
장지동,127.1310955547814,37.48178887796837,서울 송파구 장지동 839-1,keyword
풍납동,127.120730056922,37.5393939008774,서울 송파구 풍납동 73-1,keyword
목동,126.878709638371,37.54441729821,서울 양천구 목동,keyword
신월동,126.823205919955,37.5158332832762,서울 양천구 신월동 350-42,keyword
당산동,126.899549281341,37.543881849366,서울 영등포구 당산동 1,keyword
당산동3가,126.89654042089323,37.52671699691721,서울 영등포구 당산동3가 386-1,keyword
당산동4가,126.89790789928045,37.52939956727965,서울 영등포구 당산동4가 49,keyword
대림동,126.897474301275,37.4924039640497,서울 영등포구 대림동 1050-43,keyword
도림동,126.900267225474,37.5077883250389,서울 영등포구 도림동 243-2,keyword
문래동3가,126.89777054767478,37.51398329680753,서울 영등포구 문래동3가 54-28,keyword
당산동5가,126.90102526759455,37.534136980765595,서울 영등포구 당산동5가 16-1,keyword
당산동1가,126.8975443464669,37.52058745358166,서울 영등포구 당산동1가 459,keyword
당산동2가,126.895513670999,37.5223246093429,서울 영등포구 당산동2가 165,keyword
당산동6가,126.905966929922,37.5335076154868,서울 영등포구 당산동6가 110-71,keyword
문래동2가,126.894323286857,37.5137333879453,서울 영등포구 문래동2가 14-42,keyword
문래동5가,126.881989120094,37.5170013608467,서울 영등포구 문래동5가 25,keyword
