구,년도,전체인구,고령자수
용산구,2015,247909,35715
용산구,2016,245102,35915
용산구,2017,244444,36882
용산구,2018,245090,37640
용산구,2019,245185,38791
용산구,2020,244645,40247
용산구,2021,237285,39070
용산구,2022,233284,39037
용산구,2023,227106,39747
은평구,2007,463473,43414
은평구,2008,463364,46002
은평구,2009,470782,48979
은평구,2010,492925,53779
은평구,2011,498350,56595
은평구,2012,505902,60776
은평구,2013,508111,64328
은평구,2014,503243,67002
은평구,2015,502578,69753
은평구,2016,495937,71457
은평구,2017,491202,74559
은평구,2018,487666,77420
은평구,2019,484546,80738
은평구,2020,484043,85187
은평구,2021,477173,87241
은평구,2022,470602,89650
은평구,2023,470869,93817
종로구,2007,173843,19127
종로구,2008,179754,20162
종로구,2009,177543,20753
종로구,2010,179362,22458
종로구,2011,177419,22939
종로구,2012,173148,23868
종로구,2013,167867,23997
종로구,2014,165344,24537
종로구,2015,163822,24892
종로구,2016,161922,25091
종로구,2017,164257,26182
종로구,2018,163026,26742
종로구,2019,161869,27519
종로구,2020,158996,28507
종로구,2021,153789,27818
종로구,2022,152211,27958
종로구,2023,150453,28764
중구,2007,137435,14907
중구,2008,138811,15427
중구,2009,137861,16008
중구,2010,141200,17504
중구,2011,141567,18099
중구,2012,140807,18875
중구,2013,137990,19346
중구,2014,136227,19960
중구,2015,134329,20302
중구,2016,134409,20606
중구,2017,134593,21384
중구,2018,135633,22005
중구,2019,136488,23275
중구,2020,134635,24495
중구,2021,131787,24392
중구,2022,130785,25055
중구,2023,131793,25920
중랑구,2007,431406,34951
중랑구,2008,432845,37180
중랑구,2009,429700,39191
중랑구,2010,432302,41887
중랑구,2011,428672,43745
중랑구,2012,423655,46476
중랑구,2013,421237,48998
중랑구,2014,423411,51995
중랑구,2015,418620,54095
중랑구,2016,415677,55914
중랑구,2017,412780,59262
중랑구,2018,408147,61830
중랑구,2019,402024,65164
중랑구,2020,399562,69447
중랑구,2021,391885,71682
중랑구,2022,390140,74920
중랑구,2023,387470,78955
